iter, cut, min_cut, runtime
265, 1, 1, 44978
266, 1, 1, 58736
267, 1, 1, 43860
268, 1, 1, 49448
269, 2, 1, 43791
270, 3, 1, 49657
271, 1, 1, 42742
272, 1, 1, 48749
273, 2, 1, 50565
274, 2, 1, 38273
275, 1, 1, 53847
276, 1, 1, 57129
277, 1, 1, 53708
278, 2, 1, 45048
279, 1, 1, 44419
280, 1, 1, 57549
281, 2, 1, 46654
282, 1, 1, 51613
283, 1, 1, 556074
284, 2, 1, 54266
285, 2, 1, 55175
286, 1, 1, 46723
287, 3, 1, 45676
288, 2, 1, 49377
289, 2, 1, 50635
290, 1, 1, 63416
291, 2, 1, 52520
292, 2, 1, 50286
293, 1, 1, 135841
294, 2, 1, 43860
295, 2, 1, 47492
296, 1, 1, 75080
297, 4, 1, 55244
298, 3, 1, 63974
299, 1, 1, 65091
300, 2, 1, 41765
301, 2, 1, 51054
302, 1, 1, 38552
303, 1, 1, 44489
304, 1, 1, 47492
305, 2, 1, 52800
306, 1, 1, 54407
307, 2, 1, 47142
308, 2, 1, 68584
309, 2, 1, 58177
310, 1, 1, 47213
311, 3, 1, 47562
312, 2, 1, 51542
313, 2, 1, 44838
314, 2, 1, 37923
315, 1, 1, 50355
316, 2, 1, 60552
317, 2, 1, 57200
318, 2, 1, 47701
319, 2, 1, 53707
320, 3, 1, 43790
321, 1, 1, 47771
322, 1, 1, 52520
323, 2, 1, 53638
324, 1, 1, 43720
325, 2, 1, 48610
326, 1, 1, 257783
327, 2, 1, 44977
328, 1, 1, 42882
329, 1, 1, 50076
330, 2, 1, 50286
331, 1, 1, 72355
332, 1, 1, 46304
333, 2, 1, 69073
334, 1, 1, 39740
335, 4, 1, 37714
336, 3, 1, 50495
337, 1, 1, 57688
338, 1, 1, 43930
339, 1, 1, 48260
340, 1, 1, 60063
341, 3, 1, 59505
342, 1, 1, 69142
343, 1, 1, 45606
344, 2, 1, 47283
345, 2, 1, 40368
346, 2, 1, 67816
347, 2, 1, 46584
348, 1, 1, 56431
349, 1, 1, 42393
350, 1, 1, 55663
351, 1, 1, 47212
352, 1, 1, 57828
353, 1, 1, 46933
354, 1, 1, 48609
355, 2, 1, 54476
356, 2, 1, 40438
357, 3, 1, 50006
358, 3, 1, 61740
359, 1, 1, 62997
360, 3, 1, 41555
361, 1, 1, 42253
362, 1, 1, 43511
363, 1, 1, 44698
364, 1, 1, 49098
365, 2, 1, 95403
366, 1, 1, 58667
367, 1, 1, 37295
368, 1, 1, 42883
369, 2, 1, 54336
370, 1, 1, 38203
371, 1, 1, 42813
372, 1, 1, 52381
373, 2, 1, 42254
374, 1, 1, 53987
375, 1, 1, 62927
376, 1, 1, 42533
377, 2, 1, 55733
378, 1, 1, 64393
379, 2, 1, 52939
380, 1, 1, 47282
381, 1, 1, 57339
382, 1, 1, 48889
383, 2, 1, 51054
384, 2, 1, 46863
385, 2, 1, 37156
386, 2, 1, 170831
387, 2, 1, 141987
388, 1, 1, 45607
389, 2, 1, 42394
390, 2, 1, 41625
391, 1, 1, 51892
392, 1, 1, 46584
393, 1, 1, 61739
394, 2, 1, 38134
395, 2, 1, 44419
396, 1, 1, 61041
397, 2, 1, 42883
398, 1, 1, 76685
399, 1, 1, 50704
400, 1, 1, 48050
401, 3, 1, 46026
402, 1, 1, 56292
403, 3, 1, 39739
404, 2, 1, 54266
405, 1, 1, 66349
406, 2, 1, 45676
407, 1, 1, 53009
408, 2, 1, 49657
409, 2, 1, 68724
410, 1, 1, 74450
411, 1, 1, 44698
412, 2, 1, 62997
413, 1, 1, 51682
414, 1, 1, 50146
415, 1, 1, 44279
416, 2, 1, 68235
417, 2, 1, 58737
418, 1, 1, 49098
419, 2, 1, 38203
420, 2, 1, 210780
421, 3, 1, 44907
422, 1, 1, 59574
423, 1, 1, 53917
424, 4, 1, 43231
425, 2, 1, 48050
426, 1, 1, 59575
427, 1, 1, 50565
428, 1, 1, 64393
429, 1, 1, 63415
430, 1, 1, 205123
431, 1, 1, 47212
432, 1, 1, 57689
433, 1, 1, 77454
434, 1, 1, 48610
435, 1, 1, 51542
436, 1, 1, 48680
437, 2, 1, 47142
438, 2, 1, 62018
439, 2, 1, 48399
440, 2, 1, 49936
441, 2, 1, 45117
442, 1, 1, 59085
443, 3, 1, 45327
444, 1, 1, 61111
445, 2, 1, 40857
446, 3, 1, 41625
447, 1, 1, 65231
448, 1, 1, 65791
449, 1, 1, 41835
450, 4, 1, 59435
451, 1, 1, 40438
452, 1, 1, 51542
453, 1, 1, 45257
454, 5, 1, 53149
455, 1, 1, 49726
456, 1, 1, 55244
457, 1, 1, 59085
458, 1, 1, 48469
459, 4, 1, 43161
460, 2, 1, 62927
461, 1, 1, 80038
462, 2, 1, 48610
463, 1, 1, 68584
464, 1, 1, 40019
465, 2, 1, 38552
466, 2, 1, 45885
467, 1, 1, 57339
468, 1, 1, 45815
469, 2, 1, 42952
470, 1, 1, 37155
471, 1, 1, 43511
472, 2, 1, 57130
473, 1, 1, 47212
474, 1, 1, 46794
475, 2, 1, 41904
476, 2, 1, 42114
477, 1, 1, 46165
478, 1, 1, 58318
479, 2, 1, 43371
480, 2, 1, 50425
481, 1, 1, 88209
482, 1, 1, 67117
483, 1, 1, 47282
484, 3, 1, 45746
485, 1, 1, 50425
486, 1, 1, 62927
487, 1, 1, 72565
488, 1, 1, 49238
489, 1, 1, 43302
490, 2, 1, 43371
491, 2, 1, 49517
492, 2, 1, 42813
493, 1, 1, 87790
494, 1, 1, 47212
495, 1, 1, 59784
496, 1, 1, 40438
497, 1, 1, 42742
498, 1, 1, 64394
499, 1, 1, 45257
500, 1, 1, 55454
501, 1, 1, 38971
502, 2, 1, 44908
503, 1, 1, 52870
504, 1, 1, 73892
505, 1, 1, 53359
506, 1, 1, 47911
507, 5, 1, 38273
508, 2, 1, 47562
509, 1, 1, 53359
510, 1, 1, 57899
511, 1, 1, 45327
512, 1, 1, 40019
513, 1, 1, 49238
514, 2, 1, 51053
515, 1, 1, 56711
516, 2, 1, 43302
517, 1, 1, 48539
518, 1, 1, 49657
519, 1, 1, 50983
520, 1, 1, 45676
521, 1, 1, 49238
522, 1, 1, 65790
523, 1, 1, 60692
524, 2, 1, 65301
525, 2, 1, 43441
526, 2, 1, 44349
