iter, cut, min_cut, runtime
265, 7, 2, 40927
266, 5, 2, 46794
267, 2, 2, 41556
268, 4, 2, 40927
269, 7, 2, 47282
270, 6, 2, 42813
271, 4, 2, 44000
272, 5, 2, 48609
273, 4, 2, 44698
274, 5, 2, 43232
275, 6, 2, 44000
276, 4, 2, 43301
277, 4, 2, 41626
278, 5, 2, 38552
279, 5, 2, 41625
280, 5, 2, 42603
281, 7, 2, 45257
282, 5, 2, 39669
283, 5, 2, 44139
284, 2, 2, 44768
285, 5, 2, 43721
286, 4, 2, 37086
287, 4, 2, 41696
288, 4, 2, 43232
289, 6, 2, 40997
290, 6, 2, 47282
291, 8, 2, 38552
292, 4, 2, 38203
293, 4, 2, 51822
294, 4, 2, 41625
295, 3, 2, 39460
296, 7, 2, 41834
297, 2, 2, 44907
298, 4, 2, 45676
299, 7, 2, 44349
300, 2, 2, 47701
301, 5, 2, 39599
302, 3, 2, 39181
303, 6, 2, 43860
304, 6, 2, 40019
305, 5, 2, 46724
306, 6, 2, 42044
307, 5, 2, 46514
308, 3, 2, 37993
309, 5, 2, 40508
310, 4, 2, 39949
311, 3, 2, 44000
312, 8, 2, 43371
313, 4, 2, 45188
314, 4, 2, 47911
315, 4, 2, 43999
316, 4, 2, 53428
317, 4, 2, 41415
318, 6, 2, 41485
319, 2, 2, 45746
320, 8, 2, 43301
321, 3, 2, 45467
322, 5, 2, 50495
323, 6, 2, 44768
324, 5, 2, 41905
325, 7, 2, 41416
326, 7, 2, 48470
327, 8, 2, 42114
328, 4, 2, 45676
329, 5, 2, 43511
330, 4, 2, 48120
331, 4, 2, 46374
332, 4, 2, 42323
333, 5, 2, 44489
334, 4, 2, 45676
335, 3, 2, 41416
336, 2, 2, 39809
337, 6, 2, 42323
338, 5, 2, 45326
339, 6, 2, 39530
340, 6, 2, 45956
341, 5, 2, 36178
342, 4, 2, 51892
343, 8, 2, 38552
344, 4, 2, 38133
345, 5, 2, 46863
346, 4, 2, 42254
347, 4, 2, 43860
348, 3, 2, 45536
349, 5, 2, 42952
350, 5, 2, 43301
351, 5, 2, 40019
352, 5, 2, 43022
353, 3, 2, 45327
354, 5, 2, 45886
355, 7, 2, 49029
356, 6, 2, 43930
357, 5, 2, 43860
358, 2, 2, 45187
359, 5, 2, 39879
360, 4, 2, 44907
361, 4, 2, 45257
362, 4, 2, 42045
363, 5, 2, 47981
364, 6, 2, 41975
365, 7, 2, 41067
366, 2, 2, 39949
367, 2, 2, 49657
368, 2, 2, 41905
369, 9, 2, 39740
370, 4, 2, 42463
371, 4, 2, 46235
372, 8, 2, 38133
373, 3, 2, 44768
374, 2, 2, 45397
375, 3, 2, 44140
376, 4, 2, 47562
377, 4, 2, 45676
378, 4, 2, 41136
379, 6, 2, 44768
380, 3, 2, 49168
381, 5, 2, 46375
382, 8, 2, 44419
383, 5, 2, 48610
384, 4, 2, 41905
385, 2, 2, 41974
386, 4, 2, 46374
387, 4, 2, 40857
388, 5, 2, 44000
389, 5, 2, 44279
390, 5, 2, 44977
391, 6, 2, 46514
392, 6, 2, 37085
393, 5, 2, 50774
394, 8, 2, 46375
395, 6, 2, 39041
396, 4, 2, 68095
397, 5, 2, 41416
398, 5, 2, 41345
399, 4, 2, 45746
400, 4, 2, 48051
401, 4, 2, 52521
402, 2, 2, 43721
403, 6, 2, 37505
404, 4, 2, 47143
405, 5, 2, 39111
406, 5, 2, 42882
407, 5, 2, 41905
408, 4, 2, 42045
409, 5, 2, 40787
410, 7, 2, 46304
411, 2, 2, 40437
412, 6, 2, 51612
413, 4, 2, 47003
414, 3, 2, 44768
415, 6, 2, 40368
416, 5, 2, 39530
417, 5, 2, 47282
418, 5, 2, 42463
419, 5, 2, 41625
420, 5, 2, 43441
421, 5, 2, 45886
422, 10, 2, 45187
423, 7, 2, 42533
424, 4, 2, 43651
425, 5, 2, 41346
426, 8, 2, 43301
427, 6, 2, 40438
428, 4, 2, 49168
429, 3, 2, 56851
430, 4, 2, 44628
431, 4, 2, 46793
432, 4, 2, 43301
433, 5, 2, 42534
434, 4, 2, 41416
435, 3, 2, 44838
436, 2, 2, 48958
437, 4, 2, 38272
438, 4, 2, 45396
439, 5, 2, 43790
440, 5, 2, 43511
441, 2, 2, 40368
442, 6, 2, 43371
443, 8, 2, 41765
444, 2, 2, 49517
445, 5, 2, 41835
446, 6, 2, 48680
447, 8, 2, 45606
448, 8, 2, 39250
449, 5, 2, 43930
450, 4, 2, 44698
451, 3, 2, 42463
452, 4, 2, 45746
453, 2, 2, 47142
454, 4, 2, 44279
455, 5, 2, 42044
456, 6, 2, 47702
457, 5, 2, 41067
458, 5, 2, 45256
459, 6, 2, 42324
460, 2, 2, 45955
461, 6, 2, 54895
462, 5, 2, 40089
463, 3, 2, 44838
464, 4, 2, 47073
465, 4, 2, 46584
466, 3, 2, 44837
467, 4, 2, 41415
468, 4, 2, 43860
469, 4, 2, 45396
470, 4, 2, 40648
471, 4, 2, 42463
472, 10, 2, 41974
473, 2, 2, 60063
474, 10, 2, 44418
475, 2, 2, 53708
476, 8, 2, 43022
477, 3, 2, 39949
478, 5, 2, 43371
479, 5, 2, 45746
480, 7, 2, 41486
481, 5, 2, 49308
482, 5, 2, 46165
483, 4, 2, 45257
484, 4, 2, 41904
485, 4, 2, 46723
486, 2, 2, 56222
487, 5, 2, 43232
488, 6, 2, 41555
489, 4, 2, 43301
490, 4, 2, 43092
491, 5, 2, 47003
492, 5, 2, 47562
493, 4, 2, 42323
494, 3, 2, 42533
495, 5, 2, 43302
496, 5, 2, 40089
497, 2, 2, 43510
498, 8, 2, 41276
499, 7, 2, 42533
500, 5, 2, 43860
501, 4, 2, 40019
502, 3, 2, 49029
503, 6, 2, 43301
504, 4, 2, 39460
505, 6, 2, 41904
506, 3, 2, 46374
507, 5, 2, 53847
508, 4, 2, 46584
509, 4, 2, 52730
510, 7, 2, 43720
511, 5, 2, 47702
512, 5, 2, 46724
513, 5, 2, 52730
514, 5, 2, 45676
515, 4, 2, 46584
516, 5, 2, 44000
517, 4, 2, 43791
518, 4, 2, 41137
519, 2, 2, 41276
520, 3, 2, 42882
521, 3, 2, 41486
522, 6, 2, 42394
523, 4, 2, 46864
524, 3, 2, 42813
525, 2, 2, 49517
526, 5, 2, 47003
527, 7, 2, 44907
528, 2, 2, 51053
529, 6, 2, 41346
530, 8, 2, 47632
531, 4, 2, 38972
532, 4, 2, 45187
533, 2, 2, 49098
534, 4, 2, 41416
535, 3, 2, 40229
536, 2, 2, 54755
537, 4, 2, 48609
538, 4, 2, 48260
539, 5, 2, 49937
540, 2, 2, 49587
541, 5, 2, 43301
542, 7, 2, 42045
543, 2, 2, 39949
544, 4, 2, 46863
545, 2, 2, 46653
546, 4, 2, 46374
547, 4, 2, 42463
548, 5, 2, 41066
549, 5, 2, 43302
550, 3, 2, 39949
551, 6, 2, 42533
552, 4, 2, 41765
553, 3, 2, 47002
554, 5, 2, 43790
555, 4, 2, 44907
556, 3, 2, 42324
557, 14, 2, 41974
558, 7, 2, 39320
559, 5, 2, 46025
560, 9, 2, 40718
561, 5, 2, 44768
562, 5, 2, 48260
563, 7, 2, 43651
564, 5, 2, 43372
565, 2, 2, 39530
566, 4, 2, 42883
567, 9, 2, 42952
568, 5, 2, 41486
569, 4, 2, 41136
570, 4, 2, 42952
571, 2, 2, 49656
572, 8, 2, 41904
573, 5, 2, 45397
574, 3, 2, 42324
575, 3, 2, 51892
576, 4, 2, 45536
577, 2, 2, 43999
578, 5, 2, 40927
579, 4, 2, 46305
580, 4, 2, 41835
581, 8, 2, 51194
582, 3, 2, 50425
583, 6, 2, 42114
584, 6, 2, 47073
585, 5, 2, 47841
586, 4, 2, 40368
587, 4, 2, 46864
588, 5, 2, 43720
589, 8, 2, 43511
590, 4, 2, 42324
591, 5, 2, 40089
592, 6, 2, 42742
593, 7, 2, 49308
594, 5, 2, 43930
595, 6, 2, 49028
596, 4, 2, 48051
597, 2, 2, 41416
598, 3, 2, 43790
599, 7, 2, 41904
600, 4, 2, 39250
601, 2, 2, 41835
602, 4, 2, 38692
603, 5, 2, 46096
604, 2, 2, 40368
605, 3, 2, 48260
606, 5, 2, 45187
607, 6, 2, 43511
608, 4, 2, 41346
609, 6, 2, 42812
610, 5, 2, 41974
611, 5, 2, 43790
612, 6, 2, 42114
613, 3, 2, 47562
614, 4, 2, 38273
615, 4, 2, 44838
616, 6, 2, 47282
617, 3, 2, 42394
618, 3, 2, 44349
619, 7, 2, 43720
620, 10, 2, 42323
621, 4, 2, 42323
622, 3, 2, 49028
623, 5, 2, 39600
624, 8, 2, 44768
625, 5, 2, 44978
626, 3, 2, 43930
627, 3, 2, 41066
628, 4, 2, 46584
629, 5, 2, 47352
630, 4, 2, 38971
631, 3, 2, 45466
632, 2, 2, 45117
633, 4, 2, 41416
634, 3, 2, 43930
635, 4, 2, 45327
636, 8, 2, 42045
637, 9, 2, 38971
638, 2, 2, 44558
639, 5, 2, 37644
640, 4, 2, 37225
641, 5, 2, 60552
642, 4, 2, 46375
643, 5, 2, 42044
644, 3, 2, 42882
645, 5, 2, 48679
646, 5, 2, 41486
647, 4, 2, 42534
648, 7, 2, 38971
649, 7, 2, 38832
650, 4, 2, 41136
651, 4, 2, 46654
652, 3, 2, 43511
653, 4, 2, 44279
654, 4, 2, 48749
655, 4, 2, 58596
656, 2, 2, 41835
657, 7, 2, 42603
658, 4, 2, 45187
659, 5, 2, 49238
660, 2, 2, 44838
661, 2, 2, 41136
662, 4, 2, 40438
663, 8, 2, 41416
664, 4, 2, 43022
665, 4, 2, 39390
666, 4, 2, 47491
667, 5, 2, 43790
668, 5, 2, 42533
669, 5, 2, 41835
670, 4, 2, 38692
671, 4, 2, 47073
672, 6, 2, 37505
673, 5, 2, 44768
674, 4, 2, 43790
675, 4, 2, 40926
676, 4, 2, 46793
677, 6, 2, 41835
678, 2, 2, 42603
679, 5, 2, 41834
680, 4, 2, 45885
681, 5, 2, 39949
682, 4, 2, 44908
683, 5, 2, 44977
684, 6, 2, 40438
685, 5, 2, 41137
686, 5, 2, 39949
687, 4, 2, 41416
688, 12, 2, 37296
689, 4, 2, 40159
690, 2, 2, 39949
691, 5, 2, 49168
692, 6, 2, 39041
693, 5, 2, 45955
694, 5, 2, 39460
695, 4, 2, 41206
696, 4, 2, 38203
697, 5, 2, 44699
698, 6, 2, 46375
699, 4, 2, 40997
700, 5, 2, 43511
701, 4, 2, 41765
702, 2, 2, 45746
703, 2, 2, 39600
704, 5, 2, 40508
705, 2, 2, 46375
706, 3, 2, 37574
707, 2, 2, 43022
708, 8, 2, 41556
709, 3, 2, 48121
710, 4, 2, 48609
711, 5, 2, 42533
712, 5, 2, 43092
713, 6, 2, 45117
714, 5, 2, 42044
715, 5, 2, 46654
716, 2, 2, 59575
717, 2, 2, 43791
718, 5, 2, 45606
719, 5, 2, 43022
720, 5, 2, 38552
721, 3, 2, 40997
722, 2, 2, 39670
723, 5, 2, 35758
724, 4, 2, 44139
725, 7, 2, 38692
726, 5, 2, 42813
727, 4, 2, 38063
728, 6, 2, 46305
729, 5, 2, 38552
730, 2, 2, 52241
731, 5, 2, 40857
732, 6, 2, 40647
733, 3, 2, 45187
734, 2, 2, 47352
735, 4, 2, 47702
736, 4, 2, 45397
737, 5, 2, 46654
738, 6, 2, 42114
739, 3, 2, 39460
740, 3, 2, 40857
741, 8, 2, 43302
742, 8, 2, 42394
743, 6, 2, 36807
744, 7, 2, 40508
745, 5, 2, 42953
746, 6, 2, 39670
747, 2, 2, 45048
748, 8, 2, 39111
749, 4, 2, 42533
750, 5, 2, 44279
751, 2, 2, 47771
752, 3, 2, 41835
753, 4, 2, 42254
754, 9, 2, 38552
755, 4, 2, 43231
756, 5, 2, 41066
757, 5, 2, 41764
758, 8, 2, 39460
759, 5, 2, 39879
760, 3, 2, 49098
761, 6, 2, 47701
762, 2, 2, 40996
763, 4, 2, 42533
764, 6, 2, 39670
765, 2, 2, 46793
766, 2, 2, 40996
767, 4, 2, 44908
768, 3, 2, 41905
769, 4, 2, 43441
770, 4, 2, 39949
771, 8, 2, 39111
772, 8, 2, 50635
773, 3, 2, 45187
774, 8, 2, 42114
775, 2, 2, 46025
776, 2, 2, 48470
777, 5, 2, 47073
778, 7, 2, 41625
779, 4, 2, 38482
780, 6, 2, 50704
781, 5, 2, 44838
782, 4, 2, 43441
783, 4, 2, 43790
784, 2, 2, 52102
785, 2, 2, 47143
786, 4, 2, 38552
787, 4, 2, 39810
788, 2, 2, 44768
789, 5, 2, 39180
790, 2, 2, 41416
791, 6, 2, 43022
792, 4, 2, 46584
793, 7, 2, 42464
794, 3, 2, 40089
795, 5, 2, 45676
796, 5, 2, 39670
797, 3, 2, 44628
798, 6, 2, 42394
799, 6, 2, 41765
800, 4, 2, 54406
801, 4, 2, 43791
802, 2, 2, 43511
803, 5, 2, 50286
804, 5, 2, 40438
805, 3, 2, 50914
806, 6, 2, 46724
807, 5, 2, 46235
808, 5, 2, 43791
809, 3, 2, 42114
810, 7, 2, 41625
811, 4, 2, 44768
812, 6, 2, 40647
813, 5, 2, 45187
814, 5, 2, 41137
815, 2, 2, 44139
816, 3, 2, 43790
817, 4, 2, 44279
818, 2, 2, 44349
819, 5, 2, 40997
820, 5, 2, 47981
821, 5, 2, 40368
822, 3, 2, 46165
823, 9, 2, 38273
824, 6, 2, 42323
825, 5, 2, 56361
826, 8, 2, 42044
827, 9, 2, 44488
828, 6, 2, 40508
829, 8, 2, 41556
830, 5, 2, 40508
831, 5, 2, 39041
832, 8, 2, 47981
833, 2, 2, 44210
834, 5, 2, 50565
835, 5, 2, 45816
836, 5, 2, 44837
837, 6, 2, 41835
838, 4, 2, 42603
839, 7, 2, 37644
840, 5, 2, 44768
841, 5, 2, 42952
842, 4, 2, 47771
843, 5, 2, 43581
844, 5, 2, 39460
845, 4, 2, 40647
846, 7, 2, 41416
847, 2, 2, 40508
848, 3, 2, 44000
849, 11, 2, 39599
850, 5, 2, 46374
851, 6, 2, 47072
852, 4, 2, 41625
853, 4, 2, 40857
854, 5, 2, 43301
855, 7, 2, 43231
856, 4, 2, 47142
857, 5, 2, 41555
858, 7, 2, 41485
859, 4, 2, 42533
860, 4, 2, 46514
861, 4, 2, 40577
862, 4, 2, 49936
863, 4, 2, 41626
864, 2, 2, 48051
865, 4, 2, 40648
866, 5, 2, 46305
867, 5, 2, 45886
868, 5, 2, 45257
869, 5, 2, 41066
870, 4, 2, 43301
871, 9, 2, 39041
872, 5, 2, 44699
873, 5, 2, 41835
874, 2, 2, 42044
875, 5, 2, 41416
876, 7, 2, 43441
877, 4, 2, 37993
878, 5, 2, 45047
879, 6, 2, 46863
880, 3, 2, 45187
881, 6, 2, 40159
882, 5, 2, 41835
883, 5, 2, 41905
884, 7, 2, 41626
885, 3, 2, 42394
886, 4, 2, 45467
887, 4, 2, 40857
888, 5, 2, 42044
889, 5, 2, 46864
890, 8, 2, 40927
891, 4, 2, 45815
892, 2, 2, 46234
893, 7, 2, 42044
894, 4, 2, 39390
895, 10, 2, 42184
896, 4, 2, 43930
897, 5, 2, 46724
898, 5, 2, 46095
899, 3, 2, 44419
900, 2, 2, 49098
901, 2, 2, 48749
902, 10, 2, 40019
903, 5, 2, 45885
904, 4, 2, 43231
905, 3, 2, 46444
906, 4, 2, 44559
907, 5, 2, 42393
908, 2, 2, 48680
909, 2, 2, 41486
910, 4, 2, 43860
911, 8, 2, 40438
912, 4, 2, 49378
913, 5, 2, 47562
914, 4, 2, 44768
915, 7, 2, 44838
916, 4, 2, 42952
917, 4, 2, 42044
918, 2, 2, 42114
919, 5, 2, 46165
920, 4, 2, 42114
921, 4, 2, 38552
922, 5, 2, 48540
923, 5, 2, 40368
924, 4, 2, 43790
925, 7, 2, 42114
926, 6, 2, 44698
927, 3, 2, 44977
928, 5, 2, 40368
929, 5, 2, 44837
930, 6, 2, 46793
931, 4, 2, 42394
932, 2, 2, 46654
933, 8, 2, 41067
934, 6, 2, 45955
935, 2, 2, 41416
936, 5, 2, 45397
937, 8, 2, 41905
938, 7, 2, 42603
939, 4, 2, 39949
940, 6, 2, 42603
941, 2, 2, 40648
942, 4, 2, 52311
943, 2, 2, 39181
944, 6, 2, 37574
945, 4, 2, 50984
946, 5, 2, 46933
947, 8, 2, 38622
948, 4, 2, 43790
949, 4, 2, 46234
950, 4, 2, 42393
951, 9, 2, 40438
952, 6, 2, 42534
953, 5, 2, 41905
954, 2, 2, 40578
955, 3, 2, 45815
956, 5, 2, 42952
957, 4, 2, 41276
958, 5, 2, 41765
959, 5, 2, 40578
960, 4, 2, 41486
961, 4, 2, 40088
962, 4, 2, 45955
963, 6, 2, 48190
964, 4, 2, 42114
965, 3, 2, 44768
966, 5, 2, 42603
967, 5, 2, 37156
968, 7, 2, 45607
