iter, cut, min_cut, runtime
0, 3, 3, 74939
1, 7, 3, 73333
2, 6, 3, 76406
3, 3, 3, 76965
4, 7, 3, 72984
5, 3, 3, 74311
6, 11, 3, 74032
7, 3, 3, 81574
8, 9, 3, 69142
9, 11, 3, 73333
10, 16, 3, 81294
11, 13, 3, 72495
12, 9, 3, 84298
13, 6, 3, 74241
14, 3, 3, 85415
15, 7, 3, 75707
16, 4, 3, 79060
17, 7, 3, 83949
18, 7, 3, 70469
19, 11, 3, 73054
20, 6, 3, 74451
21, 9, 3, 71447
22, 6, 3, 74799
23, 3, 3, 74730
24, 12, 3, 71447
25, 7, 3, 68304
26, 6, 3, 75848
27, 4, 3, 88698
28, 3, 3, 71937
29, 17, 3, 69003
30, 9, 3, 82831
31, 3, 3, 73123
32, 7, 3, 73263
33, 9, 3, 79968
34, 8, 3, 70051
35, 8, 3, 84019
36, 8, 3, 83041
37, 6, 3, 73473
38, 6, 3, 74380
39, 11, 3, 70190
40, 9, 3, 79479
41, 4, 3, 75498
42, 8, 3, 76616
43, 6, 3, 80666
44, 9, 3, 70051
45, 6, 3, 67746
46, 6, 3, 78780
47, 7, 3, 81574
48, 7, 3, 74729
49, 3, 3, 80876
50, 6, 3, 74800
51, 7, 3, 76895
52, 8, 3, 85835
53, 6, 3, 80178
54, 4, 3, 74451
55, 9, 3, 78012
56, 6, 3, 81155
57, 11, 3, 75778
58, 11, 3, 69771
59, 4, 3, 72984
60, 5, 3, 94356
61, 3, 3, 99523
62, 9, 3, 94145
63, 3, 3, 78711
64, 8, 3, 73333
65, 10, 3, 82342
66, 11, 3, 70050
67, 10, 3, 87650
68, 4, 3, 92540
69, 8, 3, 85416
70, 7, 3, 83111
71, 9, 3, 69212
72, 8, 3, 82412
73, 9, 3, 78501
74, 7, 3, 91282
75, 4, 3, 84019
76, 12, 3, 73892
77, 7, 3, 78921
78, 3, 3, 94844
79, 4, 3, 70540
80, 4, 3, 76266
81, 6, 3, 73822
82, 7, 3, 74520
83, 6, 3, 85555
84, 9, 3, 74171
85, 10, 3, 81505
86, 9, 3, 77523
87, 10, 3, 72285
88, 11, 3, 77594
89, 3, 3, 75987
90, 9, 3, 78641
91, 9, 3, 72146
92, 13, 3, 72356
93, 6, 3, 79619
94, 3, 3, 90584
95, 3, 3, 69562
96, 7, 3, 74241
97, 9, 3, 72355
98, 6, 3, 72984
99, 6, 3, 82552
100, 8, 3, 72984
101, 7, 3, 69771
102, 7, 3, 85276
103, 6, 3, 80248
104, 6, 3, 78711
105, 3, 3, 84717
106, 8, 3, 86113
107, 4, 3, 76196
108, 8, 3, 86323
109, 5, 3, 73124
110, 6, 3, 71587
111, 7, 3, 75289
112, 15, 3, 79968
113, 4, 3, 73264
114, 11, 3, 69701
115, 12, 3, 74241
116, 6, 3, 74101
117, 3, 3, 72984
118, 10, 3, 77244
119, 6, 3, 77663
120, 5, 3, 75219
121, 7, 3, 70190
122, 8, 3, 71377
123, 9, 3, 72704
124, 9, 3, 70679
125, 7, 3, 71866
126, 7, 3, 86044
127, 4, 3, 71377
128, 9, 3, 68234
129, 11, 3, 76406
130, 10, 3, 74311
131, 3, 3, 82482
132, 5, 3, 72565
133, 6, 3, 78012
134, 8, 3, 79200
135, 7, 3, 75219
136, 10, 3, 80387
137, 15, 3, 70469
138, 9, 3, 79688
139, 9, 3, 79199
140, 8, 3, 72006
141, 3, 3, 75778
142, 11, 3, 72355
143, 6, 3, 77593
144, 6, 3, 75778
145, 7, 3, 70190
146, 6, 3, 74660
147, 8, 3, 66279
148, 14, 3, 75498
149, 8, 3, 71377
150, 11, 3, 77035
151, 8, 3, 79549
152, 6, 3, 75498
153, 10, 3, 70610
154, 6, 3, 84019
155, 6, 3, 82901
156, 8, 3, 69702
157, 7, 3, 72425
158, 7, 3, 72495
159, 7, 3, 88000
160, 10, 3, 92959
161, 9, 3, 85206
162, 7, 3, 69492
163, 8, 3, 74660
164, 6, 3, 71029
165, 8, 3, 76825
166, 3, 3, 79339
167, 6, 3, 70121
168, 9, 3, 72006
169, 6, 3, 65930
170, 9, 3, 79688
171, 6, 3, 84438
172, 9, 3, 74660
173, 3, 3, 77314
174, 7, 3, 82343
175, 14, 3, 80596
