iter, cut, min_cut, runtime
0, 5, 5, 53148
1, 4, 4, 52381
2, 7, 4, 52031
3, 2, 2, 50564
4, 6, 2, 46584
5, 5, 2, 51752
6, 5, 2, 50425
7, 4, 2, 48120
8, 5, 2, 48749
9, 5, 2, 58248
10, 7, 2, 51263
11, 8, 2, 51543
12, 4, 2, 49238
13, 5, 2, 50495
14, 2, 2, 62996
15, 8, 2, 55314
16, 8, 2, 51613
17, 5, 2, 48610
18, 4, 2, 65790
19, 5, 2, 72983
20, 10, 2, 47282
21, 7, 2, 55244
22, 7, 2, 48540
23, 7, 2, 52101
24, 2, 2, 49168
25, 6, 2, 67327
26, 6, 2, 52870
27, 9, 2, 50495
28, 7, 2, 55734
29, 5, 2, 57759
30, 6, 2, 47632
31, 5, 2, 57619
32, 10, 2, 46724
33, 6, 2, 52451
34, 6, 2, 49307
35, 5, 2, 53009
36, 4, 2, 53009
37, 5, 2, 45746
38, 4, 2, 54965
39, 4, 2, 55873
40, 4, 2, 50565
41, 8, 2, 54755
42, 7, 2, 57130
43, 2, 2, 55105
44, 8, 2, 53428
45, 8, 2, 51053
46, 4, 2, 47562
47, 9, 2, 53987
48, 6, 2, 55314
49, 7, 2, 51403
50, 5, 2, 55244
51, 10, 2, 47352
52, 7, 2, 60412
53, 2, 2, 57619
54, 2, 2, 51403
55, 5, 2, 47631
56, 2, 2, 59644
57, 2, 2, 56013
58, 7, 2, 49029
59, 2, 2, 54406
60, 5, 2, 60622
61, 4, 2, 52311
62, 5, 2, 47631
63, 6, 2, 48190
64, 8, 2, 46864
65, 12, 2, 51892
66, 9, 2, 47631
67, 6, 2, 48120
68, 4, 2, 51403
69, 5, 2, 53428
70, 2, 2, 51053
71, 8, 2, 49866
72, 2, 2, 55593
73, 7, 2, 59644
74, 9, 2, 49238
75, 4, 2, 52450
76, 6, 2, 54755
77, 2, 2, 50635
78, 4, 2, 49237
79, 2, 2, 58597
80, 2, 2, 50844
81, 8, 2, 45117
82, 2, 2, 61530
83, 8, 2, 49028
84, 9, 2, 49587
85, 8, 2, 56291
86, 2, 2, 58178
87, 7, 2, 47562
88, 2, 2, 49587
89, 4, 2, 49726
90, 11, 2, 51752
91, 7, 2, 51822
92, 4, 2, 53499
93, 4, 2, 50984
94, 4, 2, 60063
95, 4, 2, 47701
96, 9, 2, 46793
97, 7, 2, 61460
98, 15, 2, 48539
99, 6, 2, 50076
100, 5, 2, 45886
101, 9, 2, 49587
102, 4, 2, 53917
103, 7, 2, 44838
104, 7, 2, 51962
105, 6, 2, 54406
106, 6, 2, 47980
107, 6, 2, 46723
108, 8, 2, 51123
109, 5, 2, 54825
110, 6, 2, 53847
111, 12, 2, 54476
112, 8, 2, 45816
113, 10, 2, 45606
114, 5, 2, 53499
115, 2, 2, 48610
116, 12, 2, 49238
117, 5, 2, 48261
118, 2, 2, 67187
119, 5, 2, 76406
120, 5, 2, 61949
121, 2, 2, 51542
122, 5, 2, 49238
123, 2, 2, 55733
124, 5, 2, 52660
125, 7, 2, 60133
126, 4, 2, 52939
127, 17, 2, 49726
128, 2, 2, 58876
129, 6, 2, 49308
130, 2, 2, 49727
131, 5, 2, 55384
132, 5, 2, 62927
133, 7, 2, 50984
134, 9, 2, 54895
135, 6, 2, 58737
136, 7, 2, 49238
137, 5, 2, 49377
138, 2, 2, 53288
139, 7, 2, 47771
140, 2, 2, 59155
141, 2, 2, 59575
142, 5, 2, 55943
143, 5, 2, 50635
144, 4, 2, 54895
145, 4, 2, 56432
146, 13, 2, 53359
147, 6, 2, 52451
148, 7, 2, 51124
149, 2, 2, 56781
150, 12, 2, 49448
151, 10, 2, 51403
152, 11, 2, 50356
153, 8, 2, 49937
154, 2, 2, 61530
155, 2, 2, 49099
156, 2, 2, 54266
157, 8, 2, 52800
158, 7, 2, 53359
159, 7, 2, 50076
160, 7, 2, 55454
161, 9, 2, 52241
162, 4, 2, 50006
163, 5, 2, 55803
164, 5, 2, 53987
165, 5, 2, 56292
166, 4, 2, 65371
167, 4, 2, 48540
168, 9, 2, 50076
169, 7, 2, 56361
170, 5, 2, 58945
171, 4, 2, 55104
172, 5, 2, 57619
173, 7, 2, 50006
174, 11, 2, 52101
175, 9, 2, 48190
176, 2, 2, 61530
177, 2, 2, 53918
178, 9, 2, 47841
179, 10, 2, 50565
180, 4, 2, 58806
