iter, cut, min_cut, runtime
0, 1, 1, 34711
1, 1, 1, 38203
2, 2, 1, 40578
3, 1, 1, 39181
4, 5, 1, 29123
5, 1, 1, 37086
6, 4, 1, 29822
7, 1, 1, 32895
8, 2, 1, 31428
9, 2, 1, 34851
10, 2, 1, 31428
11, 2, 1, 44629
12, 3, 1, 27587
13, 1, 1, 32126
14, 2, 1, 28635
15, 1, 1, 29613
16, 2, 1, 30521
17, 2, 1, 26819
18, 2, 1, 36666
19, 3, 1, 33454
20, 3, 1, 29054
21, 1, 1, 29263
22, 1, 1, 34361
23, 1, 1, 31498
24, 2, 1, 31498
25, 1, 1, 29123
26, 1, 1, 36177
27, 1, 1, 36177
28, 2, 1, 32755
29, 2, 1, 48470
30, 6, 1, 37644
31, 1, 1, 83390
32, 5, 1, 42114
33, 1, 1, 50076
34, 2, 1, 49098
35, 1, 1, 39740
36, 1, 1, 51473
37, 1, 1, 41905
38, 2, 1, 43511
39, 1, 1, 66837
40, 1, 1, 60064
41, 1, 1, 56362
42, 2, 1, 47003
43, 2, 1, 59086
44, 1, 1, 52939
45, 3, 1, 51962
46, 1, 1, 44489
47, 2, 1, 49587
48, 1, 1, 65371
49, 3, 1, 56641
50, 1, 1, 53288
51, 2, 1, 56781
52, 2, 1, 49657
53, 3, 1, 36248
54, 5, 1, 39669
55, 1, 1, 52521
56, 2, 1, 57130
57, 2, 1, 39181
58, 2, 1, 43790
59, 1, 1, 55314
60, 1, 1, 44000
61, 2, 1, 50355
62, 1, 1, 61530
63, 3, 1, 43301
64, 2, 1, 51123
65, 2, 1, 55454
66, 1, 1, 58667
67, 2, 1, 55733
68, 2, 1, 55244
69, 2, 1, 51822
70, 5, 1, 46584
71, 2, 1, 54686
72, 1, 1, 39041
73, 3, 1, 44349
74, 1, 1, 74241
75, 1, 1, 49936
76, 2, 1, 34292
77, 2, 1, 36178
78, 2, 1, 30031
79, 1, 1, 30031
80, 2, 1, 28634
81, 2, 1, 31917
82, 2, 1, 41905
83, 2, 1, 41905
84, 1, 1, 44978
85, 3, 1, 49518
86, 1, 1, 48539
87, 3, 1, 49099
88, 2, 1, 46933
89, 2, 1, 40647
90, 1, 1, 45257
91, 3, 1, 42114
92, 2, 1, 50774
93, 1, 1, 39950
94, 1, 1, 52450
95, 2, 1, 42812
96, 4, 1, 50146
97, 2, 1, 45537
98, 1, 1, 46165
99, 1, 1, 38552
100, 3, 1, 53917
101, 1, 1, 51543
102, 2, 1, 47073
103, 3, 1, 48609
104, 1, 1, 45745
105, 2, 1, 49518
106, 1, 1, 41695
107, 1, 1, 41765
108, 1, 1, 43860
109, 2, 1, 38971
110, 2, 1, 53428
111, 1, 1, 42812
112, 1, 1, 46794
113, 1, 1, 51403
114, 2, 1, 44070
115, 2, 1, 46863
116, 1, 1, 61111
117, 2, 1, 45257
118, 3, 1, 39391
119, 1, 1, 51752
120, 3, 1, 49518
121, 2, 1, 40717
122, 2, 1, 44699
123, 5, 1, 44488
124, 2, 1, 47422
125, 2, 1, 54825
126, 2, 1, 61530
127, 2, 1, 42114
128, 2, 1, 44629
129, 4, 1, 53288
130, 1, 1, 47841
131, 2, 1, 52940
132, 1, 1, 53289
133, 2, 1, 46374
134, 1, 1, 45257
135, 2, 1, 54267
136, 4, 1, 46584
137, 2, 1, 44000
138, 2, 1, 42463
139, 1, 1, 53010
140, 1, 1, 64393
141, 2, 1, 52520
