iter, cut, min_cut, runtime
0, 3, 3, 64184
1, 2, 2, 61461
2, 2, 2, 77245
3, 2, 2, 67955
4, 3, 2, 67536
5, 1, 1, 62856
6, 1, 1, 63346
7, 2, 1, 54337
8, 6, 1, 54756
9, 1, 1, 59155
10, 6, 1, 64882
11, 3, 1, 56571
12, 2, 1, 62228
13, 2, 1, 81434
14, 3, 1, 76895
15, 2, 1, 59505
16, 3, 1, 65790
17, 2, 1, 60133
18, 3, 1, 66210
19, 2, 1, 79339
20, 2, 1, 52311
21, 1, 1, 74520
22, 2, 1, 61530
23, 1, 1, 54406
24, 1, 1, 60063
25, 3, 1, 58108
26, 4, 1, 59086
27, 1, 1, 78711
28, 1, 1, 52032
29, 2, 1, 72495
30, 1, 1, 53009
31, 1, 1, 74729
32, 4, 1, 54406
33, 2, 1, 110279
34, 6, 1, 54126
35, 2, 1, 72285
36, 3, 1, 76685
37, 2, 1, 71168
38, 2, 1, 64952
39, 2, 1, 74311
40, 2, 1, 73542
41, 2, 1, 61320
42, 3, 1, 64673
43, 6, 1, 58666
44, 1, 1, 68654
45, 1, 1, 69072
46, 1, 1, 94914
47, 3, 1, 60133
48, 1, 1, 67256
49, 3, 1, 66349
50, 5, 1, 66279
51, 4, 1, 59156
52, 3, 1, 59714
53, 1, 1, 69212
54, 3, 1, 73333
55, 2, 1, 79200
56, 1, 1, 57130
57, 2, 1, 64183
58, 6, 1, 68653
59, 2, 1, 73473
60, 5, 1, 65581
61, 1, 1, 63904
62, 2, 1, 76266
63, 1, 1, 56711
64, 2, 1, 50984
65, 2, 1, 63276
66, 1, 1, 70120
67, 2, 1, 64323
68, 3, 1, 72634
69, 3, 1, 70120
70, 1, 1, 55454
71, 1, 1, 67676
72, 2, 1, 71237
73, 4, 1, 64323
74, 2, 1, 51054
75, 2, 1, 75429
76, 1, 1, 69492
77, 1, 1, 60552
78, 2, 1, 82063
79, 3, 1, 71727
80, 5, 1, 66698
81, 1, 1, 71028
82, 2, 1, 68305
83, 1, 1, 64882
84, 4, 1, 69562
85, 3, 1, 65302
86, 3, 1, 72774
87, 5, 1, 57479
88, 2, 1, 62018
89, 1, 1, 71238
90, 2, 1, 65860
91, 4, 1, 69003
92, 1, 1, 72983
93, 5, 1, 61041
94, 2, 1, 65581
95, 2, 1, 62717
96, 1, 1, 65301
97, 2, 1, 81505
98, 3, 1, 81225
99, 2, 1, 65301
100, 1, 1, 62996
101, 2, 1, 75777
102, 3, 1, 67955
103, 2, 1, 76267
104, 3, 1, 74939
105, 4, 1, 64324
106, 1, 1, 85346
107, 3, 1, 53289
108, 2, 1, 67816
109, 3, 1, 59085
110, 1, 1, 72425
111, 3, 1, 59644
112, 3, 1, 68095
113, 5, 1, 55593
114, 1, 1, 107136
115, 1, 1, 68793
116, 2, 1, 97359
117, 2, 1, 88698
118, 8, 1, 62996
119, 3, 1, 93377
120, 3, 1, 63904
121, 2, 1, 77664
122, 4, 1, 68095
123, 1, 1, 68933
124, 3, 1, 66768
125, 2, 1, 70051
126, 5, 1, 65441
127, 2, 1, 66349
128, 2, 1, 76266
129, 4, 1, 52520
130, 3, 1, 68793
131, 3, 1, 55872
132, 5, 1, 62997
133, 3, 1, 65441
134, 3, 1, 58317
135, 3, 1, 60063
136, 2, 1, 67816
137, 4, 1, 64394
138, 3, 1, 71168
139, 2, 1, 65301
140, 4, 1, 56291
141, 2, 1, 70050
142, 2, 1, 59854
143, 2, 1, 67257
144, 5, 1, 59574
145, 4, 1, 61391
146, 1, 1, 67117
147, 5, 1, 62507
148, 1, 1, 68653
149, 4, 1, 59714
150, 1, 1, 69002
151, 5, 1, 61111
152, 2, 1, 76894
153, 1, 1, 56920
154, 2, 1, 53637
155, 4, 1, 55314
156, 2, 1, 67187
157, 1, 1, 61390
158, 3, 1, 54686
159, 1, 1, 77733
160, 3, 1, 71028
161, 5, 1, 65511
162, 2, 1, 81155
163, 4, 1, 65301
164, 2, 1, 52940
165, 9, 1, 57898
166, 1, 1, 70679
167, 5, 1, 58666
168, 1, 1, 56221
169, 1, 1, 65162
170, 2, 1, 73193
171, 2, 1, 63835
172, 5, 1, 55384
173, 2, 1, 57549
174, 3, 1, 74660
175, 3, 1, 62996
176, 1, 1, 66698
177, 1, 1, 75010
178, 3, 1, 70539
179, 3, 1, 60971
180, 2, 1, 55453
181, 2, 1, 63346
182, 3, 1, 54826
183, 2, 1, 60063
184, 1, 1, 86183
185, 3, 1, 70679
186, 3, 1, 67187
187, 1, 1, 65231
188, 1, 1, 61599
189, 2, 1, 62228
190, 2, 1, 69492
191, 2, 1, 75079
192, 2, 1, 56012
193, 4, 1, 70888
194, 2, 1, 84368
195, 2, 1, 59016
196, 3, 1, 67117
197, 2, 1, 65860
198, 4, 1, 60552
199, 2, 1, 56781
200, 1, 1, 75009
201, 2, 1, 66280
202, 3, 1, 54406
203, 1, 1, 69492
204, 6, 1, 53708
205, 8, 1, 54406
206, 4, 1, 62438
207, 2, 1, 58248
208, 1, 1, 70749
209, 2, 1, 71936
210, 2, 1, 98266
211, 7, 1, 56641
212, 2, 1, 65650
213, 6, 1, 57130
214, 4, 1, 55873
215, 3, 1, 79758
216, 6, 1, 59155
217, 1, 1, 59574
218, 4, 1, 77524
219, 2, 1, 65721
220, 2, 1, 60343
221, 3, 1, 56292
222, 6, 1, 68653
223, 1, 1, 62368
224, 3, 1, 64044
225, 4, 1, 78711
226, 4, 1, 60622
227, 7, 1, 55942
